x,y,t,id
-73.9172725,42.8392144,2010-03-06T08:44:52Z,1016
-73.9174182,42.8389912,2010-03-06T08:46:24Z,1016
-73.9174747,42.838997,2010-03-06T08:48:08Z,1016
-73.9174674,42.8390592,2010-03-06T08:50:14Z,1016
-73.9167471,42.8391372,2010-03-06T08:52:08Z,1016
-73.9146595,42.8401737,2010-03-06T09:00:08Z,1016
-73.9097044,42.8417083,2010-03-06T09:10:24Z,1016
-73.909773,42.8414563,2010-03-06T09:12:16Z,1016
-73.9098019,42.841385,2010-03-06T09:14:13Z,1016
-73.9093013,42.8416312,2010-03-06T09:16:10Z,1016
-73.9085218,42.8415648,2010-03-06T09:18:09Z,1016
-73.907723,42.8407912,2010-03-06T09:20:06Z,1016
-73.9075326,42.8407475,2010-03-06T09:22:14Z,1016
-73.9075412,42.8408899,2010-03-06T09:26:01Z,1016
-73.9074995,42.8411084,2010-03-06T09:29:43Z,1016
-73.9075014,42.8407608,2010-03-06T09:30:40Z,1016
-73.9074557,42.8407331,2010-03-06T09:32:40Z,1016
-73.9076226,42.8406848,2010-03-06T09:34:07Z,1016
-73.9075413,42.8407058,2010-03-06T09:36:12Z,1016
-73.9075284,42.8407513,2010-03-06T09:38:17Z,1016
-73.9077781,42.8402983,2010-03-06T09:40:11Z,1016
-73.9090475,42.8391596,2010-03-06T09:47:32Z,1016
-73.9090231,42.8388882,2010-03-06T09:48:15Z,1016
-73.909172,42.8386844,2010-03-06T09:50:21Z,1016
-73.9088339,42.8389889,2010-03-06T09:52:27Z,1016
-73.9091057,42.8387601,2010-03-06T09:54:15Z,1016
-73.9090329,42.8389362,2010-03-06T09:57:10Z,1016
-73.9089867,42.8386858,2010-03-06T09:58:26Z,1016
-73.90979,42.8383861,2010-03-06T10:00:10Z,1016
-73.9107609,42.8381274,2010-03-06T10:02:23Z,1016
-73.9100761,42.838877,2010-03-06T10:04:17Z,1016
-73.9098593,42.8392889,2010-03-06T10:06:07Z,1016
-73.9090579,42.8392801,2010-03-06T10:08:47Z,1016
-73.9091643,42.8387612,2010-03-06T10:10:09Z,1016
-73.9090803,42.8388145,2010-03-06T10:12:12Z,1016
-73.9087804,42.8386152,2010-03-06T10:14:08Z,1016
-73.9077642,42.8388278,2010-03-06T10:16:07Z,1016
-73.9077309,42.8391816,2010-03-06T10:18:10Z,1016
-73.9072977,42.8393013,2010-03-06T10:20:09Z,1016
-73.9079913,42.8383308,2010-03-06T10:24:13Z,1016
-73.9085061,42.8372346,2010-03-06T10:30:10Z,1016
-73.9086634,42.8366313,2010-03-06T10:32:07Z,1016
-73.9083648,42.8360595,2010-03-06T10:34:11Z,1016
-73.9083621,42.8367565,2010-03-06T10:36:11Z,1016
-73.9074743,42.8375223,2010-03-06T10:38:07Z,1016
-73.9068305,42.8384372,2010-03-06T10:40:06Z,1016
-73.9058239,42.8391223,2010-03-06T10:42:07Z,1016
-73.9046427,42.8394834,2010-03-06T10:44:06Z,1016
-73.9032744,42.839836,2010-03-06T10:46:22Z,1016
-73.9028944,42.8392559,2010-03-06T10:48:08Z,1016
-73.9021678,42.8390528,2010-03-06T10:50:09Z,1016
-73.9014958,42.8384041,2010-03-06T10:52:09Z,1016
-73.9010724,42.837543,2010-03-06T10:54:06Z,1016
-73.9010235,42.8375018,2010-03-06T10:56:19Z,1016
-73.8973928,42.8383679,2010-03-06T11:07:10Z,1016
-73.8967619,42.8385537,2010-03-06T11:08:36Z,1016
-73.8968299,42.8384707,2010-03-06T11:10:40Z,1016
-73.897158,42.838569,2010-03-06T11:12:16Z,1016
-73.8968816,42.8384674,2010-03-06T11:14:13Z,1016
-73.8969478,42.8384985,2010-03-06T11:16:18Z,1016
-73.8967698,42.838455,2010-03-06T11:18:17Z,1016
-73.8968962,42.8384597,2010-03-06T11:20:24Z,1016
-73.896513,42.8384062,2010-03-06T11:26:58Z,1016
-73.8980989,42.8385798,2010-03-06T11:30:20Z,1016
-73.8964497,42.8383671,2010-03-06T11:32:52Z,1016
-73.8964602,42.8383534,2010-03-06T11:35:10Z,1016
-73.8964244,42.8383619,2010-03-06T11:36:07Z,1016
-73.8963964,42.8384025,2010-03-06T11:38:40Z,1016
-73.8964034,42.8383872,2010-03-06T11:40:08Z,1016
-73.8963959,42.838439,2010-03-06T11:50:31Z,1016
-73.8963661,42.8384525,2010-03-06T12:00:36Z,1016
-73.8963868,42.8383971,2010-03-06T13:00:45Z,1016
-73.8965007,42.8384462,2010-03-06T15:00:50Z,1016
-73.8963732,42.838348,2010-03-06T16:00:56Z,1016
-73.8964128,42.8383596,2010-03-06T16:10:32Z,1016
-73.8964411,42.8384847,2010-03-06T17:00:56Z,1016
-73.8964217,42.8384011,2010-03-06T18:00:50Z,1016
-73.8964615,42.8383732,2010-03-06T19:00:50Z,1016
-73.8963372,42.8380812,2010-03-06T20:00:44Z,1016
-73.8964919,42.8383489,2010-03-06T21:00:36Z,1016
-73.8963877,42.8383801,2010-03-06T22:01:56Z,1016
-73.896452,42.8383325,2010-03-06T22:35:26Z,1016
-73.8970598,42.8381475,2010-03-06T22:40:16Z,1016
-73.8969944,42.8383209,2010-03-06T22:42:12Z,1016
-73.8968447,42.8382717,2010-03-06T22:44:14Z,1016
-73.8967824,42.8383093,2010-03-06T22:50:08Z,1016
-73.8967052,42.8382797,2010-03-06T22:52:15Z,1016
-73.896954,42.8384936,2010-03-06T23:00:52Z,1016
-73.8972892,42.8380674,2010-03-06T23:10:41Z,1016
-73.8972488,42.8377409,2010-03-06T23:14:18Z,1016
-73.8973462,42.8379914,2010-03-06T23:16:14Z,1016
-73.8972487,42.8377823,2010-03-06T23:18:23Z,1016
-73.8972626,42.8377126,2010-03-06T23:20:12Z,1016
-73.897255,42.8378246,2010-03-06T23:22:07Z,1016
-73.8973664,42.8379608,2010-03-06T23:24:07Z,1016
